"last_name, first_name","player_id","year","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_stolen_base","exit_velocity_avg","launch_angle_avg","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","hp_to_1b","sprint_speed",""
"Ruiz, Keibert","660688","2023","18",".260",".409",".308","0.717","1","87.4","15.3",14.3,38.8,24.6,26.1,10.5,"4.78","25.1",
"Arcia, Orlando","606115","2023","17",".264",".420",".321","0.741","1","88.2","5.4",24.3,53.5,20.8,19.5,6.2,"4.67","25.9",
"Bichette, Bo","666182","2023","20",".306",".475",".339","0.814","5","90.2","6.2",21.1,46.4,18.8,30.9,3.9,"4.52","27.1",
"Canha, Mark","592192","2023","11",".262",".400",".355","0.755","11","87.9","13.1",18.3,43.9,25.4,21.8,8.8,"4.44","27.9",
"Profar, Jurickson","595777","2023","9",".242",".368",".321","0.689","1","86.5","14.8",20,40.1,24.1,26.7,9.1,"4.61","25.6",
"Nootbaar, Lars","663457","2023","14",".261",".418",".367","0.785","11","89.1","7.2",18.2,50.5,23,22.4,4.2,"4.3","27.8",
"Pena, Jeremy","665161","2023","10",".263",".381",".324","0.705","13","88","5.5",28.3,54.4,18.9,22.9,3.8,"4.28","29.4",
"Chapman, Matt","656305","2023","17",".240",".424",".330","0.754","4","93.4","18.5",31.1,35,30.6,23.1,11.3,"4.43","28.5",
"Outman, James","681546","2023","23",".248",".437",".353","0.790","16","87.9","15.7",36.6,39.2,30.4,23.2,7.2,"4.24","28.9",
"Drury, Brandon","592273","2023","26",".262",".497",".306","0.803","0","89.9","11.8",30.2,42.7,26.3,24.6,6.5,"4.56","27.0",
"Abrams, CJ","682928","2023","18",".245",".412",".300","0.712","47","87.4","13.5",22.3,44.8,25.1,20.6,9.5,"4.22","28.6",
"Tatis Jr., Fernando","665487","2023","25",".257",".449",".322","0.771","29","91.9","11",30.5,47.7,25.1,21.2,5.9,"4.32","29.3",
"Realmuto, J.T.","592663","2023","20",".252",".452",".310","0.762","16","89.8","16.7",26.2,37.6,28.9,24.2,9.3,"4.36","28.7",
"Volpe, Anthony","683011","2023","21",".209",".383",".283","0.666","24","88.7","14.2",28.1,41.1,27.6,24.9,6.4,"4.4","28.4",
"Nimmo, Brandon","607043","2023","24",".274",".466",".363","0.829","3","91.8","12.2",22,41.2,26.4,25.5,6.9,"4.27","28.0",
"Vaughn, Andrew","683734","2023","21",".258",".429",".314","0.743","0","90.6","11.2",24.1,44.4,23.7,24.4,7.5,"4.79","25.5",
"Turner, Justin","457759","2023","23",".276",".455",".345","0.800","4","89.5","16.5",17.5,35.7,33,25.1,6.2,"4.83","25.1",
"Santander, Anthony","623993","2023","28",".257",".472",".325","0.797","5","90.6","20.2",23.5,35,32.5,19.6,12.9,"4.66","26.7",
"Melendez Jr., MJ","669004","2023","16",".235",".398",".316","0.714","6","93.2","16.9",34.4,35.4,34.6,25.3,4.6,"4.25","27.6",
"McNeil, Jeff","643446","2023","10",".270",".378",".333","0.711","10","86","14.4",13.4,42.2,22.1,25.7,10.1,"4.15","27.4",
